review_title,review_body,rating,review_date
The truffle shuffle.,"Comparisons to 'John Wick (2014)' are both apt and, perhaps, misleading; in many ways, 'Pig (2021)' is the antithesis of the revenge thriller. It isn't about vengeance, it's about love, loss, grief and gourmet cooking. In fact, the protagonist comes face to face with the people who whack him in the head and steal his pig in the movie's opening movement surprisingly early on, showing no desire to hurt them and instead being wholly focused on recovering his lost pet. It's generally a quiet, contemplative and purposefully counter-intuitive affair that subverts almost every expectation that comes with its set-up and the fact that it stars Nic Cage. Cage is remarkably restrained here, delivering a heavy yet nuanced performance that's actually rather affecting. Some of his conversations hit surprisingly hard, even if some of them are rather difficult to hear (the dialogue is oddly quiet and muffled at times). On top of its more straightforward narrative, the film has plenty to say about commerce vs creativity, compromised dreams, self-imposed isolation, gentrification, monopolisation, regret, companionship and the necessity of being able to 'move on'. It's purposefully unsatisfying, which is actually oddly satisfying if you think about it. It's relatively realistic yet still retains its own sense of low-key style. It's also really sad overall. It isn't consistently gripping, but it's always interesting and generally entertaining, too. It's an accomplished piece of work. 7/10.",7.0,16 January 2022
Phenomenal...Just Phenomenal!!,"This movie brought back life to Cinema! And it's absolutely stunning, touching, real and Authentic. In a world of plastic CGI and ultra unrealistic movies which you can absolutely not relate to, this one is a breath of fresh air that will touch the inner most part of you heart. I felt it as tears rolled on my cheek's (I miss you dad). Kudos to the entire production team and welcome back Cage ; we have waited for this from you for a long time. Thank you so much.",8.0,20 July 2021
Cage pigs out in Portland...,"While i'm certainly not on the 'Pig is a masterpiece' bandwagon, this is still an oddly engaging low key indie-flick with decent cinematography, sharp editing and an aptly atmospheric score, further boosted by the brilliance of Cage and a solid supporting cast, including the wonderful truffle pig itself!

However, it's a slow moving ditty that never really takes off and i was somewhat disappointed with the undercooked finale. It also has to be noted that our disheveled hero goes through the entire movie filthy dirty, bloodsoaked and battered in many public places without nary a raised eyebrow, which stretches all boundaries of credibility... and i'm not talking about the pig here!

Regardless of its faults, this sombre thought=provoking tale of love, loss and loneliness is worth a watch if you want to check out something fresh and quirky, and it's certainly good to see the enigmatic Nic Cage putting in a such solid turn again in between his many recent howlers (take note Neeson, Madsen and Willis). Bon appetite. Oink oink.",7.0,20 July 2021
"Unconventional love story, a man and his pig.","I'm not sure what I expected but what I got surprised me. I like Nic Cage but I don't always like the choices he makes. This role is a good one. He is a wilderness man in Oregon, the state with the best hunting for truffles. He lives in a very rustic cabin, gets supplied delivered weekly, in exchange he provides top quality truffles. We see him early making a rustic mushroom tart, we get a sense of what his former career might have been.

The incident happens very early in the movie, at the 11 minute mark, when in the dead of night men break in, knock him unconscious, and steal his prize pig. The rest of the movie is his efforts to find his pig and get it back. More because of his attachment to the pig, not so much for his truffle hunting.

The overall theme is dealing with loss and grief, and not only one person or one loss. It is not a superficial story that one can pay scant attention to. Cage is really good in the role, as a former top chef who dropped out of the mainstream.

On DVD from my public library. My wife skipped.",,30 November 2021
It's Pig,"He's looking for his truffle pig, and it's nick cage. That's enough for me.",7.0,17 July 2021
"Ha , my wife loved it !",,7.0,8 August 2021
Some very important things you may have missed (Spoilers below),,10.0,27 July 2021
I'd like to speak to the chef.,"Pig follows a truffle hunter named Rob who lives alone in the wilderness of Oregon with his beloved foraging pig. One day, his pig is stolen, and he sets out on a mission to find her, revealing a hidden past and putting him in touch with his estranged former life in the process.

This movie is not your typical Hollywood production. Instead, it's a slow-burning character study that explores themes of loss, grief, and redemption. Nicolas Cage delivers a subdued, nuanced performance, showing a depth and range that remind us of his acting abilities beyond his typically over-the-top roles. He portrays Rob as a man who has suffered a great deal, but who has not lost his humanity, compassion, or love for his pig.

The cinematography is stunning, capturing the beauty of the Pacific Northwest wilderness, and the soundtrack is haunting and atmospheric, adding to the film's melancholic and introspective mood. The supporting cast also delivers strong performances, particularly Alex Wolff as Amir, a young and ambitious chef who becomes entangled in Rob's quest.

""Pig"" is a quiet and contemplative film that rewards patient viewers with a moving and profound experience. It's not a film for everyone, but for those willing to engage with its themes and characters, it's a thought-provoking and emotionally resonant work of art.",7.0,4 April 2023
"""We don't get a lot of things to really care about.""","What a beautiful movie. Not everyone is going to love it, I've seen some of the reviews here, and frankly, they didn't understand what the film was going for. Seldom has there been such a raw portrayal of love and caring for the things that really matter, and decluttering life of all the unnecessary BS. A film that doesn't treat it's audience like idiots, letting you paint your own picture while still wholly understanding the message. Reserved and much more than skin deep, Nicolas Cage delivers a painfully Oscar-worthy performance. Go and see this movie!",9.0,18 July 2021
Could've gone down the obvious route but didn't,"There's always something to look forward to in a Nicolas Cage film. Even though nowadays Cage does abysmal films, there's one or two great ones that come with it and Pig is one of them.

Pig follows Rob, a truffle hunter who lives in the woods with his beloved pig. One day, his pig gets kidnapped and he returns to Portland to search for it.

This film could've easily gone down the simple revenge route these stories tend to have but Pig decided to take a slower and deeper approach. In his directorial debut, Michael Sarnoski displays a lot of promise as a director and storyteller. He takes this simple premise and creates a lot of emotion in it. For his first film, it looks really good. The camerawork is fantastic and I liked a lot of the darkness and dim lighting that captured the devastated mood Rob was in the entire time. Despite its 90 minute runtime, the film does move at a slow pace and the lack of action may be bothersome to some people. I did start to feel the pacing at certain points and I definitely could've been more invested in what was going on but I wasn't.

It was refreshing to see characters handle a situation like in a calm yet emotionally effective way rather than going down the typical action route and a lot of the emotion works due to the solid acting. Nicolas Cage is the best he's been in years. Beautifully understated and a man of very few words, Cage is able to channel the distressed nature of Rob in such a believable manner. As much as I would've loved to see Cage go ballistic, it was a nice change of pace to see him in a role he doesn't normally do. I was also surprised to see Alex Wolff in a film like this but he did a good job as well and played along nicely with Cage. Another great performer was Adam Arkin who had some great scenes with Cage and Wolff.

Pig ended up being an experience I didn't expect. I didn't feel as emotionally invested as the film wanted me to but I admire Sarnoski's unique approach to this story and Nicolas Cage for providing one of the best performances of his career.",7.0,15 September 2021
