review_title,review_body,rating,review_date
Painful - how can it get this bad?,"Take one of the most exciting and expansive fictional universes with iconic characters and storylines... then just tear it up without respect to its original mythos, lore, etc. That's the path of destruction that Disney has been on, save Andor, Rogue One, and to an extent, the Mandalorian.

It's sad because I'm sure lots of talented professionals worked on this. Tragically, the writing and acting is truly terrible. Special effects are great, but that's not enough to compensate for all its other flaws.

As a fan, I want to give it zero stars. Out of respect for the special effects artists, I'm giving 3.",3.0,10 June 2024
What happened to the $180 million it cost to film season one of The Acolyte.,"Then I've seen episode one and two of The Acolyte.

Eight episodes at $180 million or $22.5 million per episode. In terms of production, I get the impression of a cheap 80s science fiction, there was nothing here that would indicate $22.5 million per episode.

Roger Corman could have made both of these episodes in the 80s for less than $100,000 each. When I have seen the first two episodes of The Acolyte, I get a cheap feeling of a bad and cheap CW production which in recent years has often had a bad script, bad actors and a low budget.

Among the actors, Lee Jung-jae was in a class of his own, otherwise there was a lot of stiff and poor acting from some of the actors, which can often be caused by bad directing.

Plot, script and dialogue were often unforgivably bad and stupid and are totally illogical. I don't understand how it is possible to write such bad scripts as we see in some TV series and movies nowadays. Has anyone at Disney approved the script before it goes into production?

I wasn't a big fan of Ahsoka, all the senators and generals were stupid and inept to such an extent that I sided with the Empire.

However, Ahsoka was much better with better actors and it was more grandiose and magnificent with many more and better effects and seemed like a much more expensive production.",3.0,9 June 2024
This is laughably bad writing & direction,,3.0,5 June 2024
So Bad I Cancelled Disney+,"The first two episodes were so bad I cancelled Disney+. The positive reviews on this have to be bots. I read a comment where they said it was like a show on CW and that was not right, Flash and Arrow are way better than what Marvel has been putting out recently. It was more like one of those shows for preteen girls they make on the Disney Channel, like Hannah Montana. I shut it off after ten minutes but then watched the whole first two episodes before deciding to get rid of Disney+.

I looked forward to seeing Carrie Anne Moss, I love her in everything I've seen her in and then it turns out she's hardly in it.

The acting and story was just terrible. The dialogue was clunky and the Jedi don't speak like humans. They're like robots. It was like a few high school kids made a movie on their iPhones.

I've been really upset with the quality of Star Wars, Marvel and Disney in recent years. They aren't listening to consumers or shareholders. It's bizarre.",1.0,12 June 2024
Complete garbage,"I tried to give this series a chance but after 3 episodes, I'm done. It's absolute hot garbage. I love Star Wars but Disney is ruining the franchise. The producer should never get another gig after this. What made anybody think people would want to watch this? Horrible acting, horrible plot that nobody will care about unless you like after school specials. So much material they could choose from and they choose to make a WB type TV show. This could be the breaking point for many Star Wars fans. I can't believe they spent 180 million on this series that only a small percentage of fans will even finish. I would give it zero stars if I could.",1.0,12 June 2024
The power of 1,,1.0,13 June 2024
Cultural Vandalism,"I have never left a one star review for anything before. I always think the writing and production are never bad enough to be one star.

This series completely warrants a one star.

The writing is awful. Wooden dialogue, boring characters and so far a terrible plot. The whole production looks naff.

I am open to change and new concepts. The franchise can't grow with the same stories and ideas being replayed. The Mandolorian, Ahsoka and Andor have demonstrated that you can come up with new ideas, characters and plot lines that enhance the franchise. What the producers of this series have managed to do is spend an ungodly amount of money on producing utter garbage. Episode 3 is the worst episode of any show I have ever watched. D&D must be relieved that their butchery of Game of Thrones ending is nothing compared to this.

We all want new Star Wars material. But we want it done in a way that honours the original films and captures the essence of what makes the franchise so great.

Anyone who signed off on this project should be sacked with immediate effect.",1.0,13 June 2024
Garbage,I'm a huge star wars fan and I can already tell whoever created this has no respect for the Star Wars Universe. Who said the Jedi only pull their weapons when ready to kill ? And if this girl is Sith than she is dumb to just approach one on a bar. This director us obviously misinformed and doesn't know anything about Star Wars. This show will ruin everything if it continues. It needs to be canceled. I have to write so many words to explain my distaste for this show so I will provide more. The characters are weak and none of them show Jedi traits. Let's just bring back the cartoons so we can see how Star Wars is supposed to be done.,,5 June 2024
Meh just not for me,"I found it boring I think the concept is cool. But honestly i think I'm just burnt out on Star Wars to many spin offs. Kind of reminds me of mando season three it looked good at first but it's not as great. I found the characters too fine but very forgettable. Assassin lad is pretty cool and the Jedi were also pretty cool but overall just boring. I don't hate Star Wars, but maybe it's time for me to start looking for new stuff to watch. Honestly, Star Wars has kind of become mid. It's not as good as it used to be. I think if you're a big Star Wars fan like this show but I can't force myself to like it.",6.0,5 June 2024
It's Over,"Star Wars is truly cooked. This franchise has been destroyed and it's kind of remarkable how everyone at Disney and Lucasfilms has refused to course correct. They can't even hire people that actually care about Star Wars, but to be fair who would want to work for Lucasfilms at this point? They hire Harvey Weinstein's former assistant to make a show that once again feels like a hollow vessel for a committee of talentless hacks to use a big platform for little payoff. These oh so virtuous creatives have done it again. How a person like Kathleen Kennedy still has a job is beyond me! The legacy of Star Wars has been so greatly tarnished that I genuinely don't think it can ever be mended. New generations of kids will just have a lukewarm reaction to their era of Star Wars and will gravitate to better properties. I would rather be chained up to Jabba Hutt in a metal bikini than watch anymore Star Wars stuff.",1.0,12 June 2024
