review_title,review_body,rating,review_date
Final chapter,,5.0,18 December 2019
The Legend of action is back and is more violent than ever!!!,"Rambo Last Blood (2019)

At 73, most people prefer to sit at home, relax and reminisce their youth while being surrounded by their family. Sylvester Stallone was not built that way and this year he made a movie to prove that action stars of the 80s simply don't age. Obviously he has lost a step or two and is not flying around the screen like he used to but at bloody 73, he is still a one man army and the living proof that age is just a number.

Rambo Last Blood is a no nonsense grim action movie with a cliche plot that does not pretend be bigger than it is. Nobody is saving the world from mass enslavement, spies or nuclear threats. It is a simple revenge thriller with loads of action, grit and violence that can easily rival John Wick in terms of creativity. Stallone is a lone wolf who still has sharp fangs despite his gray hair and his enemies will find out just how sharp these fangs are.

Very similar to previous Rambo films, just on a smaller scale, so it goes without saying that if you are a fan of the franchise, 80-90s action or Stallone in general then you will feel right at home. Fast pace, simple narrative, grim settings and plently of violence give Last Blood a genuine throwback feel to the golden days of action.

#moviesshmovies on Instagram",7.0,18 September 2019
Taken meets Home Alone in this disappointing end to the Rambo Saga.,,5.0,27 November 2019
Last Blood,"Dark, brutal, graphic and extreme are some of the words I would use to sum this movie up. Pretty standard story but it does take us to some unexpected dark places. Sly does what he does best in a strong, silent brooding role. The big winner here is the action. As we come to expect the final climatic battle is very violent and graphic but executed very very well.",,7 March 2020
Unnecessary sequel but still a blast for Stallone fans.,"Even though i enjoyed Last Blood i feel like the franchise could have comfortably ended with Rambo 4. Rambo had just fought in the biggest and most brutal battle of his life and then returned to his family home, it felt like closure. Last Blood feels like it wasn't originally meant to be a Rambo movie but it's still a hell of a good time for Stallone fans and fans of no bull action movies.

Apparently this movie upset some fragile critics who called it a ""Trumpian fantasy"" whatever the hell that is supposed to mean, i wish those losers would stop trying to create drama and controversy where there is none. The fact that the film made back almost twice it's budget in theatres is the sweet icing on the cake.

Anyway, this time Rambo is fighting a more personal battle as he attempts to rescue the daughter of a close friend who's been kidnaped by a sex ring in Mexico. Stallone as always nails it as the hard as stone warrior we all love but now he has an almost softer more emotional side to him which i really enjoyed. The action scenes are insanely violent with heads exploding from shotgun blasts, guys behind impaled on spikes, blown up with claymores, stabbed through various parts of their bodies and burnt to a crisp. It's definitely not for the squeamish but this is a Rambo movie, you don't watch one expecting sunshine, rainbows and tea parties. I mean, the final battle in Rambo 4 was like a level from Gears Of War ffs. Also Stallone is 73 years old and looks to be in better condition than most men half his age. He is JACKED and is still believable as an unstoppable force of nature. The story won't win any awards but it also doesn't pretend to be any grander than it needs to be. This is a straight up, grim revenge movie.

Most fans of the series have most likely seen it and don't need a recommendation but check this out if you like hard edged action and want a throwback to the glory days of American action movies.

Goods stuff.",6.0,13 June 2020
"THIS IS, IN FACT A "" RIVETING "" watch ..... If you like { - H O R R O R - } . . . that is 🤣 💥❗ .","A { - m i c r o - } review .

First and foremost : "" Please { d o n ' t ⭐ } watch this with your { - M I N O R - } children/siblings/relatives/friends/wards, whether at the theatre - O R - in a home setting "". If { Y O U } are an - a d u l t - then in most, if not all, countries ; you could legally take her/him/them with you to the Cinema, ( even though the film is rated "" R "" ), but I beseech you, again, please... - just - d o n ' t . This is a complete & utter B L O O D B A T H 😱 of a film, not to mention that it incorporates, for the better part of the picture, what is ( tantamount )... to a BRUTAL 💥❕.... "" FULL BLOWN, Drug Cartel { A N D } hard-drugs laced, s** trafficking documentary "" .

Glad I got that out of the way. W E L L , so now here's the funny thing. I grew up absolutely, positively { L O V I N G ⭐❕} Sylvester Stallone 💎 , & films - L I K E - the Oscar Winning "" ROCKY "" , 'Escape to Victory', 'Demolition Man', 'Cliffhanger', 'The Specialist', 'Assassins', & 'Cobra' ; as well as - A L L - those truly { i c o n i c ⭐ } ""Created or inspired by Stallone"" F r a n c h i s e s . ( ""Rocky"", ""The Expendables"", ""Escape Plan""... yup, I'm sure you get the idea by now ). I mean, come on, f r a n k l y ... What active, boisterous & generally ""Energetic"", self-respecting 'young-dude' . . . . . D I D N ' T ❔❕.

{ h o w e v e r } : the "" S k y - H i g h "" levels of SHEER BODILY DISMEMBERMENT, & just Outright All-round { c a r n a g e 😱 } in 'Rambo : Last Blood'... really did take me - v e r y - aback, indeed. This, the ' 5th And Final ' ( Thank Heavens❕) instalment in the series well & truly is a ' whole-another-A N I M A L ' . Y e t , in closing, ( & speaking - o f - those wonderful creatures ), I must note, & with "" p o i n t e d { 👇❕} "" Irony, at that ; the following . "" Ever-mysterious-and-conflicted "" will the { - h u m a n - } Animal.... always be "" . And what is the reason I say this ? . Well , ' Tis because . . . even after having said { A L L } that :

I found myself Whooping for ' s l y ' Stallone thru the entire finalé , & with a "" p a s s i o n "" , at that { 💥❕} "" . So if I'm to be { - R E A L L Y - } honest with myself , this film scores "" 7.50 Crazy, Chaotic, Raucous, Rambunctious Marks Out Of 10 "" .",7.0,26 October 2019
A Finale that Fails to Truly Honor it's Hero,"Rambo: Last Blood is the supposedly the final film in the Rambo series. A series that has certainly seen better days. Last Blood's title infers a finale that could wrap the decades old series in a nice little bow and call back to the film that started it all. However, it fails to truly honor its hero in a satisfying way.

The first film First Blood seems so tamed compared to this newest entry and looking back the series as a whole has changed along the way. First Blood was a film based on the novel of the same name that followed a man struggling to reenter society after the Vietnam War. It was a topical film showcasing the cruelty and disgust many of our veterans received upon returning home. First Blood was a film with scenes of violence, but it was not an action film. It was as far as I can see an anti war film. Every film after this has failed to understand what this film was about and has opted for a more action heavy series and a violent one at that.

Last Blood is First Blood's polar opposite. It relishes in its violence especially in the 3rd act, but at least in this film the reason and motive is clear and can be understood. Last Blood is not concerned with telling the story of a man haunted by war or telling an anti war story. Its focus is on violent revenge and I have to look at it this way. The Rambo series has transformed itself into something completely different from the first film. So, does this work as a revenge thriller?

I would say yes in the most simplistic sense. This is the story of a man who wants to live his final years in peace but is called to action once again to protect someone he loves. It's a story we know all too well. However, it has proved an emotionally resonant story in the past. Rambo's story in this film and his goal is simple and it's simple to a fault, but this film is not concerned with its story as much as it is the action this series has become known for.

Let's talk about the action. I won't lie it's fun. The third act is insane and over the top and indulges in grotesque violence that will bring out the cave man in all of us. This would be fine, other Stallone movies have indulged in violence before and that's the main selling point. His Expendibles trilogy is a great example, but Last Blood tries for something more and lays the seeds for what should be an emotional crescendo for our John Rambo, but the film doesn't do enough to make this satisfying and so the film ends up feeling unbalanced.

Rambo's relationship with his niece is the heart of the film and helps in at least giving an emotional connection the film sorely needs. However, these are about the only characters that have any form of depth. The villains are 1 dimensional and nothing more and are there simply to be part of an endless army for Rambo to mutilate and maim in glorious over the top violence which is fun. The film however has a saving grace in the form of Stallone and his performance. Stallone has always been an underrated actor and I believe it hasn't been until recently that he's been receiving some of the recognition he deserves.

The movies problems perhaps are a result of its extremely short length. If anyone knows about the making of this film it was constantly cut down in the editing room to make it 89 minutes, the shortest Rambo film to date. I believe in a longer version of this film lies a film that is much better, that balances out its more meditative moments with its bursts of violence.

As it stands the film feels unbalanced and has an extremely slow and boring first two acts that ends on an action packed finale and the the final moments of the film feel like they should be more impactful than they end up being. These last few moments are the best parts of the film and make it feel more like a finale. Perhaps an extended version of the film could be released to fix many of these films short comings, but we'll have to wait and see.

Overall, Rambo: Last Blood is a film that has the right stuff to make this finale great, but what is there is either not enough or cut down to reach a certain runtime. Stallone's performance makes it at least worth a watch as it tries it's best to blend the series violent aspects with the more character driven first film.",6.0,3 October 2019
"Not a Good Rambo Movie, But Sweet Score","Rambo 1: reluctantly fights (""I didn't do anything!"") Rambo 2: reluctantly fights (""In prison at least I know where I stand."") Rambo 3: reluctantly fights (""I put in my time. My war is over!"") Rambo 4: reluctantly fights (""I can't help you. I don't want to."") Rambo 5: MOTIVATED TO KILL 🇺🇸 🇺🇸 🇺🇸

Rambo: Last Blood is a hollow, self-contained sequel that manages to be both inconsistent and completely unnecessary for the character. The main plot points are so brief and uninspired that I am not sure why they didn't just cut out the entire first hour and summarize it in a cue card at the beginning. The girl who gets captured is a brand new, unknown, stubborn, and unlikable character made up for this film, essentially so she can be used as a prop to provoke Rambo's rage. This would have been forgivable had the film been honest about not wanting to do the drama and just jumped into the action. Instead we get a half-baked and uninteresting first hour trying to convince us why Rambo should care about her.

The film takes a bloodlust angle. Having just watched the first four installments, this is inconsistent to a degree with his character in that it's the only Rambo where he is actually motivated inside himself to go kill-rather than a victim to the system used and exploited for his supersoldier training in a way that places him in a moral dilemma he cannot refuse, like how it always has been with every other Rambo film.

Some are calling this MAGA: The Movie. There is a 20-second sequence where John Rambo goes rogue and is crossing the US-Mexico border back into the United States. He stops his truck at a flimsy little wooden fence in a field in the middle of the night, then rams the truck through the fence with ease. He goes on to lure a group of Mexican criminals, rapists, gang members, & murderers across the border to trespass onto his property where he proceeds to gun them down one by one. This film is every xenophobe's fantasy. The final half hour is just a series of deaths the enemies walk right into without any kind of resistance or forethought. Rambo is not challenged whatsoever. It is simply a massacre, like watching an old man slaughter goats.

One redeeming quality of this film is the score from Brian Tyler. He takes Rambo's Battle Adagio theme from the previous film and mixes in some A Monster Calls (Fernando Velàzquez) and LOTR (Howard Shore). This song takes place in a memorable scene just before the Trump wall advertisement.

Last Blood is legitimately not a good Rambo film. It isn't quite ""pretend it never existed"" bad, but it is quite a step back after the large step forward that was the previous installment.

Disappointed.",4.0,2 October 2019
If you're a John Rambo fan you'll love it,"Sylvester Stallone, a thin plot, the Mexican Cartel, lots of inventive ways to make enemies dead, it's an absolute cracker. Don't listen to critics who are for some reason looking for something different from a Rambo movie. This is Rambo for Rambo fans.",10.0,20 September 2019
Could have been so much more,,6.0,21 September 2019
Nostalgia ruined!!!,,3.0,21 September 2019
Rambo Lives!,"I felt compelled to write this review after reading the backlash this movie has received of being racist and unnecessarily violent. I'm Mexican, I saw this movie in a cinema obviously filled with Mexicans.. no one felt offended!!!! Everyone was cheering towards the end and that final montage hit the feelings note perfectly. Rambo is a character embedded deeply in Mexican pop culture as well as in many other countries, and it hurts me to say it, but the villains you see in this movie is a reality that happens in my country, if anything I congratulate Stallone for denouncing that criminal activity. It's not a perfect movie, and it does have a different feeling than the other ones, but when Rambo finally appears you'll feel it and at his most cold blooded self he can be, the violence while gruesome, I didn't feel it unnecesary especially if you know how this Criminal Bands operate. So go to the cinema, enjoy this movie for what it is, and feel secure that south of the border we are ohh so happy to have another Rambo movie and no one is feeling offended!!",9.0,24 September 2019
Have to write a review after watching it,"I haven't been writing a review in here for years, but after watching Rambo last night, I felt it is needed, since we will never see Stallone as Rambo again.

This Rambo is the weakest in the lineup. At times I was thinking, why do they even call it Rambo, could name the movie anything else. I didn't get the Rambo feeling throughout the whole movie, and I grew up with these movies loving them.

Only cause of Stallone I give it 6 otherwise its a 5.

Goodbye to the Rambo franchise, which started with a surprise, and died out 40 years later.",6.0,21 September 2019
Rambo: Wasted Blood - Failed Mission,,1.0,1 December 2019
Whoa!,"Definitely the bloodiest and most violent one of the bunch besides #4. I liked the movie a lot and loved how it had more dialogue in the first half and built up to a crazy second half. My favorite will always be first blood, the very first one, then Rambo 2, then 3, then 4 and lastly this one. Don't get me wrong, I still loved this one. Sly still has it at 73 years of age. It was a little over the top with the needless killing but I guess that's what some people wanted.. overall good film if ya can handle that stuff",7.0,20 September 2019
It's definitely a Rambo film,"Utter ridiculousness and madness throughout.

Loved every minute of it",6.0,23 September 2019
"A little disappointed, a body count under 100???","Rambo is an old man, looking for a new challenge. I know, I'll take on a Columbian Drug lord, sounds promising. First half of the movie is slow as Rambo goes looking for his grand daughter I think? Who cares. Rambo of course ticks off a Columbian Drug lord, goes back home and waits for main villain to show up with a small army. This idiot shows up w like 50 guys, are you kidding me?? I won't spoil the ending, but it's classic Rambo in God mode. 50 guys, what an insult!!!",7.0,30 January 2021
